,Return,Volatility,APD,PFFV,DVN,MFA,MPW,PAA,T,UPS,VHT,ECOM,VIG,VUG,NLY,PYPL,VGT,GOOGL,VZ,VOO
493,0.057112027833612564,0.20782363545070487,0.0628172194566908,0.1480364048608797,0.020126833068853697,0.015530398927477422,0.034356145139922446,0.008429569595431034,0.06921841173398058,0.03699716569060872,0.08820913535080187,0.035557972294566524,0.13037277779506976,0.04109674481823916,0.05335211682322212,0.040122595673592894,0.011678117236843292,0.016330149126028332,0.10768822903870295,0.08008001336908878
1189,0.0638410803509583,0.22365164959301126,0.06277993353953018,0.11497196178971951,0.01648671729482886,0.028377895587546068,0.0006527436915548091,0.0503633574816955,0.08423219063772283,0.010959453832111443,0.08763562531097323,0.057900039097258965,0.05226648114146008,0.04216846207668895,0.02870311245159832,0.007955520497250445,0.04307314946704983,0.0911873816239416,0.11320593459437166,0.10708003988469782
2768,0.06589991534556193,0.22516826968186626,0.047600795461054786,0.1149970962112848,0.013897527293743342,0.002406886490258975,0.004940801618684623,0.014576562367963373,0.0985667360695921,0.0945736653541635,0.016657030895655553,0.06668122987064584,0.06999251519259424,0.11423064553356144,0.07002526256949977,0.07226721358164054,0.025553065361500742,0.04367093569681487,0.09332624020461426,0.0360357902267272
1792,0.0786413681056056,0.22584487525292504,0.04221430456193944,0.08389925031381026,0.0684808265988572,0.019434821791212187,0.02285162083601017,0.013087891291817694,0.05554537476219548,0.05687793314364059,0.15663870559401344,0.004326529913658631,0.07770800419931027,0.0037763933670814497,0.016439236854355704,0.0555090512592201,0.08368464608505133,0.020687832774840716,0.14111550950651128,0.07772206714647413
2830,0.03831554967578982,0.22611836331243101,0.04571415143574286,0.12633890804129652,0.007269021450867742,0.0362809130093154,0.1115773358333608,0.014971717706603561,0.11502188468361219,0.06744877226218259,0.11741227959985735,0.0014069905009756391,0.024729593135522265,0.008551058970550505,0.05485501592055444,0.042225013026411774,0.08399193145793588,0.012288441425899231,0.06283196790051017,0.06708500363880118
1317,0.0676914045110108,0.22754624143024613,0.08067655874623886,0.12228353398446028,0.04747723742142945,0.029947353498674882,0.008240425274957712,0.002525047731152282,0.012130780262791381,0.05923582876330663,0.05274672643700099,0.011204688490118327,0.08573207967538933,0.07346545993723949,0.10914741179000831,0.08274960873928869,0.019113647901254364,0.07877286283137412,0.10453729990818894,0.02001344860712589
1523,0.07399671106063496,0.22925707271744414,0.020516198843581822,0.11775060324549648,0.023435324682643276,0.011402269209498725,0.03908888929090781,0.0261440597801103,0.03331406662460673,0.02817095123912027,0.03362987983644701,0.02501388588774298,0.07809727536822987,0.10392580319813641,0.06683992912469158,0.05741307439847823,0.059546594696697215,0.062326092833869716,0.08862541216151694,0.12475968957822464
970,0.06867965454599456,0.22947939083202284,0.0692263833079983,0.10197450186701909,0.04194737118413592,0.03401087477161078,0.0045974934878938575,0.004030818579120951,0.08869256842688016,0.1133542229888901,0.021585711383210894,0.07406728162236013,0.01729775433947419,0.09947720212317994,0.09308905541265754,0.024190828310230856,0.027411653047175563,0.028581713638669893,0.12405864876196848,0.03240591674752336
107,0.08767785356366797,0.22988317663165486,0.08499868282469016,0.0991558203093124,0.05529530441356716,0.02487759017942923,0.0024600874435025534,0.024192588546146778,0.13805664625801245,0.14010256516641864,0.07934025532409325,0.047352109523073914,0.12589888975801058,0.06102104179527929,0.014611855063254173,0.0029121118818919442,0.031078383346640114,0.016943897098692845,0.03255446153655833,0.019147709531426093
783,0.07792304866860912,0.2303856280116593,0.08743348419868083,0.13738262842715088,0.0011637016306875639,0.04431708357584102,0.05657012717781673,0.028979581702511425,0.03357786217049467,0.13798232390723583,0.013705382415846458,0.015033241699445152,0.003985741574643273,0.07975523728485723,0.01757341473342602,0.042347877532378175,0.1313954022088648,0.07610348512930462,0.06821113014301339,0.024482294487801735
