,Return,Volatility,VGSH,VOO
109,0.019120129189987484,0.009374224892687483,0.9782136965001025,0.02178630349989752
27,0.01913980918013713,0.009374366871450551,0.9780525094703874,0.02194749052961256
2695,0.01901642337736988,0.009375618016519873,0.9790630887900834,0.020936911209916552
2355,0.01925866879194957,0.009377979368288027,0.9770790014739178,0.022920998526082186
2242,0.01927460081514525,0.009378822703485312,0.9769485118000544,0.023051488199945565
1479,0.018897862408375384,0.009381618086591558,0.9800341507818344,0.019965849218165615
1291,0.01932332215602469,0.00938192795650324,0.976549464434666,0.023450535565334066
1669,0.018722582959511055,0.009399081973740283,0.9814697599217621,0.01853024007823778
1477,0.019518133050136187,0.009402253262143008,0.9749538849074821,0.025046115092517886
1654,0.019528507446479368,0.009403689555307109,0.9748689144314338,0.025131085568566264
2074,0.018536491951408673,0.009428783193823535,0.9829939200775655,0.017006079922434515
2305,0.018525681796129418,0.009430859764722814,0.9830824595944541,0.01691754040554593
2220,0.018517118452972825,0.009432532003376314,0.9831525968169499,0.016847403183050107
1885,0.019753354744390838,0.009443555207311343,0.9730273246839692,0.0269726753160308
1053,0.01844637066242059,0.009447268027124723,0.9837320496587094,0.01626795034129055
2200,0.01977538439317373,0.009448355102083833,0.9728468930056006,0.02715310699439945
1464,0.01829492803323165,0.009484302450780505,0.9849724256642652,0.0150275743357348
2175,0.019988798743084776,0.009503027531227892,0.971098943697743,0.028901056302257026
2620,0.01820191390310947,0.009510728367602634,0.9857342487770775,0.01426575122292254
729,0.01812990652536372,0.009533091478452377,0.9863240181442441,0.013675981855755874
1382,0.01810590808988074,0.009540911800919486,0.986520574977042,0.01347942502295795
1788,0.018072330328923657,0.009552160489265738,0.9867955903358911,0.013204409664108865
2243,0.018062546314382085,0.009555505335779757,0.9868757253476799,0.01312427465232013
2773,0.020363366975480857,0.009634161468112603,0.9680310793163879,0.03196892068361215
1507,0.020500878600036455,0.009693260953008475,0.9669048038383588,0.03309519616164123
2129,0.020520609312491406,0.00970221291775463,0.9667432013725754,0.033256798627424554
2760,0.017670858553326542,0.009713892038904095,0.9900838055499657,0.009916194450034352
